"H09V07",-90,15,-89,16
"H10V07",-79,15,-78,16
"H11V07",-68,15,-67,16
"H12V07",-58,15,-57,16
"H09V08",-86,4,-85,5
"H10V08",-76,4,-75,5
"H11V08",-65,5,-64,6
"H12V08",-56,4,-55,5
"H13V08",-45,5,-44,6
"H9V09",-86,-5,-85,-4
"H10V09",-76,-6,-75,-5
"H11V09",-66,-6,-65,-5
"H12V09",-56,-6,-55,-5
"H13V09",-46,-6,-45,-5
"H14V09",-36,-6,-35,-5
"H10V10",-78,-15,-77,-14
"H11V10",-68,-15,-67,-14
"H12V10",-56,-15,-55,-14
"H13V10",-47,-15,-46,-14
"H14V10",-37,-16,-36,-15
"H11V11",-72,-25,-71,-24
"H12V11",-61,-25,-60,-24
"H13V11",-50,-26,-49,-25
"H14V11",-40,-25,-39,-24
"H11V12",-81,-35,-80,-34
"H12V12",-69,-36,-68,-35
"H13V12",-57,-36,-56,-35
"H12V13",-79,-46,-78,-45
"H13V13",-65,-46,-64,-45
"H13V14",-78,-55,-77,-54
"H14V14",-63,-55,-62,-54
